model,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,ml01,ml02,ml03,ml04,ml05,ml06,ml07,ml08,ml09,ml10,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,score,accuracy,sampling_controlled
gpt-5.5,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0.5,0.6,0.2,0.7,0.7,0.7,0.7,0.9,0.6,0.9,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,41.45,0.829,no
seed-2.0-lite,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0.7,0.9,0.2,0.2,0.6,0.8,1.0,0.8,0.8,1.0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,41.10,0.822,yes
qwen3.6-flash,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0.7,0.7,0.2,0.1,0.8,1.0,0.9,1.0,1.0,1.0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,39.35,0.787,yes
claude-sonnet-4.6,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0.5,0.8,0.2,0.3,0.8,0.7,0.8,1.0,0.7,1.0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,37.90,0.758,yes
grok-4.3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.5,0.6,0.2,0.3,1.0,0.5,0.8,1.0,0.3,1.0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,37.25,0.745,yes
gemini-3.1-flash-lite,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0.8,0.7,0.2,0.3,0.8,0.8,0.8,1.0,0.2,1.0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,36.65,0.733,yes
deepseek-v4-flash,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0.2,0.6,0.2,0.1,0.5,0.8,0.9,1.0,0.3,0.0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,35.60,0.712,yes
gemini-2.5-flash,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0.5,0.8,0.2,0.1,0.9,1.0,0.1,0,0.3,0.0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,25.10,0.502,yes
gpt-4o,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.7,0.5,0.1,0.0,0.0,0.3,0.3,0.0,0.3,0.0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,22.30,0.446,yes
claude-3-haiku,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0.0,0.2,0.1,0.0,0.6,0.0,0.1,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.05,0.221,yes
